Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
apache/pulsar,,Pulsar is a distributed pub-sub messaging platform with a very flexible messaging model and an intuitive client API.,,https://github.com/apache/pulsar,,3.7k,,15.2k,,#11102,,Flaky-test: AdminApiTest.testNamespaceSplitBundleConcurrent ,,2021.6.3,,2022.8.8,,N/A,,56ac867,
apache/pulsar,,Pulsar is a distributed pub-sub messaging platform with a very flexible messaging model and an intuitive client API.,,https://github.com/apache/pulsar,,3.7k,,15.2k,, #12411,,"use correct property when determine if jsr310 enabled
",,2021.10.19,,2023.4.14,,N/A,,N/A,
ndw/xmlcalabash1,,"Simply place the appropriate jar files in your classpath, there's no additional configuration required. Note that you will also need commercial libraries and licenses for some steps.",,https://github.com/ndw/xmlcalabash1,,40,,111,,#54,,ThreadLocal use produces memory leaks in pooled environments ,,2012.8.21,,2013.1.29,,1.0.5,,N/A,
vaadin/flow,,"Vaadin Flow is the Java framework of Vaadin Platform for building modern websites that look great, perform well and make you and your users happy.",,https://github.com/vaadin/flow,,192,,737,,#12355,,Jsoup ThreadLocal memory leak (again),,2021.11.13,,2022.9.13,,1.15.3,,N/A,
spring-cloud/spring-cloud-netflix,,"To build the source you will need to install JDK 17.

Spring Cloud uses Maven for most build-related activities, and you should be able to get off the ground quite quickly by cloning the project you are interested in and typing",,https://github.com/spring-cloud/spring-cloud-netflix,,2.5K,,5K,,#546,,Problem with the alternative “/zuul” path bypassing DispatcherServlet in Zuul ,,2015.9.21,,2015.10.2,,1.1.0,,41444d1,
dotnet/aspnetcore,,"ASP.NET Core is an open-source and cross-platform framework for building modern cloud-based internet-connected applications, such as web apps, IoT apps, and mobile backends. ASP.NET Core apps run on .NET, a free, cross-platform, and open-source application runtime. It was architected to provide an optimized development framework for apps that are deployed to the cloud or run on-premises. It consists of modular components with minimal overhead, so you retain flexibility while constructing your solutions. You can develop and run your ASP.NET Core apps cross-platform on Windows, Mac, and Linux. Learn more about ASP.NET Core.",,https://github.com/dotnet/aspnetcore,,10.6K,,37.8K,,#51951,,Memory leak when serializing large string properties with System.Text.Json,,2023.11.2,,2024.4.24,,N/A,,N/A,
brettwooldridge/HikariCP,,"Fast, simple, reliable. HikariCP is a ""zero-overhead"" production ready JDBC connection pool. At roughly 165Kb, the library is very light. Read about how we do it here.",,https://github.com/brettwooldridge/HikariCP,,3K,,21.1K,,#2311,,Memory leak using temporary connection pool with long-lived thread pool,,2025.4.12,,2025.4.28,,N/A,,N/A,
logfellow/logstash-logback-encoder,,"Provides logback encoders, layouts, and appenders to log in JSON and other formats supported by Jackson.

Supports both regular LoggingEvents (logged through a Logger) and AccessEvents (logged via logback-access).

Originally written to support output in logstash's JSON format, but has evolved into a highly-configurable, general-purpose, structured logging mechanism for JSON and other Jackson dataformats. The structure of the output, and the data it contains, is fully configurable.",,https://github.com/logfellow/logstash-logback-encoder,,416,,2.5K,,#722,,Memory leak in 7.0.1 when logging from a thread coming out of a "ForkJoinPool.common()",,2021.12.21,,2022.5.19,,7.1.2,,f248f22,
trinodb/trino,,"See DEVELOPMENT for information about development and release process, code style and guidelines for implementors of Trino plugins.

See CONTRIBUTING for contribution requirements.",,https://github.com/trinodb/trino,,3.6K,,12.7K,,#21356,,Jackson LockFreePool recycler pool causes memory issues ,,2024.4.2,,2024.5.8,,2.17.1,,N/A,
Atmosphere/atmosphere,,"Atmosphere is a transport-agnostic runtime for Java. Your application code declares what it does — the framework handles how it's delivered. A single @Agent class can serve browsers over WebSocket, expose tools via MCP, accept tasks from other agents via A2A, stream state to frontends via AG-UI, and route messages to Slack, Telegram, or Discord — all without changing a line of code.",,https://github.com/Atmosphere/atmosphere,,755,,3.7K,,#2221,,CookieUtil memory leak on tomcat 8.0.28 shutdown ,,2016.11.1,,2016.12.1,,8.0.28,,937f9e3,
protocolbuffers/protobuf,,"Protocol Buffers (a.k.a., protobuf) are Google's language-neutral, platform-neutral, extensible mechanism for serializing structured data. You can learn more about it in protobuf's documentation.

This README file contains protobuf installation instructions. To install protobuf, you need to install the protocol compiler (used to compile .proto files) and the protobuf runtime for your chosen programming language.",,https://github.com/protocolbuffers/protobuf,,16.1K,,71K,,#1032,,JsonFormat is not thread-safe,,2015.12.8,,2016.1.7,,v3.0.0-beta-2,,N/A,
pinterest/secor,,"Secor is a service persisting Kafka logs to Amazon S3, Google Cloud Storage, Microsoft Azure Blob Storage and Openstack Swift.",,https://github.com/pinterest/secor,,532,,1.9k,,#166,,SimpleDateFormat threading issue throws ArrayIndexOutOfBoundsException in TimestampedMessageParser,,2016.1.12,,2016.1.12,,N/A,,2ab3f16,
google/gson,,"Gson is a Java library that can be used to convert Java Objects into their JSON representation. It can also be used to convert a JSON string to an equivalent Java object. Gson can work with arbitrary Java objects including pre-existing objects that you do not have source-code of.

There are a few open-source projects that can convert Java objects to JSON. However, most of them require that you place Java annotations in your classes; something that you can not do if you do not have access to the source-code. Most also do not fully support the use of Java Generics. Gson considers both of these as very important design goals.",,https://github.com/google/gson,,4.4K,,24.3K,,#1726,,Gson taking a lock on SimpleDateFormat,,2020.6.23,,N/A,,N/A,,N/A,
google-ai-edge/mediapipe,,"Delight your customers with innovative machine learning features. MediaPipe contains everything that you need to customize and deploy to mobile (Android, iOS), web, desktop, edge devices, and IoT, effortlessly.",,https://github.com/google-ai-edge/mediapipe,,5.9k,,34.5k,,#5624,,Android/Java PoseLandmarker unnecessary []byte garbage,,2024.9.14,,N/A,,N/A,,N/A,
monix/monix,,"Monix is a high-performance Scala / Scala.js library for composing asynchronous, event-based programs.",,https://github.com/monix/monix,,245,,1.9K,,#1023,,Possible leak with Local ,,2019.9.10,,2019.11.8,,3.1.0,,076fa3e,
alibaba/datax,,"DataX is an open-source version of Alibaba Cloud DataWorks data integration, and it is a widely used offline data synchronization tool/platform within the Alibaba Group. DataX achieves efficient data synchronization between various heterogeneous data sources, including MySQL, Oracle, OceanBase, SqlServer, Postgre, HDFS, Hive, ADS, HBase, TableStore (OTS), MaxCompute (ODPS), Hologres, DRDS, and databend.",,https://github.com/alibaba/DataX,,5.7K,,17.2K,,#2346,,[Bug] Critical OS Thread Leak (OOM) via unmanaged ThreadLocal<ExecutorService> in DBUtil.java,,2026.2.22,,N/A,,N/A,,N/A,
azure/azure-sdk-for-java,,This repository is for active development of the Azure SDK for Java. For consumers of the SDK we recommend visiting our public developer docs or our versioned developer docs.,,https://github.com/Azure/azure-sdk-for-java,,2.2K,,2.6K,,#48018,,[BUG]Potential Memory Leak: Static ThreadLocal<Collator> in StorageSharedKeyCredential is never cleaned up,,2026.2.17,,2026.2.19,,N/A,,582869e i,
dropwizard/metrics,,Capturing JVM- and application-level metrics. So you know what's going on.,,https://github.com/dropwizard/metrics,,1.8K,,7.8K,,#742,,ThreadLocal Memory Leak: com.codahale.metrics.ThreadLocalRandom,,2015.1.26,,2017.11.21,,3.0.1,,de96bcf,
h2database/h2database,,More information: https://h2database.com,,https://github.com/h2database/h2database,,1.3k,,4.6k,,#4333,,[Bug]: Severe ClassLoader Pinning & Metaspace OOM via META_LOCK_DEBUGGING ThreadLocals ,,2026.3.2,,N/A,,N/A,,N/A,
apache/ignite,,Apache Ignite is a distributed database for high-performance computing with in-memory speed.,,https://github.com/apache/ignite,,1.9k,,5.1k,,#12771,,[BUG] ClassLoader Leak / Metaspace OOM: Unmanaged static ThreadLocal<Cipher> in KeystoreEncryptionSpi ,,2026.2.19,,N/A,,N/A,,N/A,
